platform_id,chunk_size,prefetch_window,static_ratio,static_budget_bytes,static_selected_bytes,bufferpool_bytes,median_prefill_s,median_decode_avg_s,median_decode_ms_per_token,median_decode_tokens_per_s
4c8g,256,4,0.25,1503238553,1409286144,4509715661,42.214536109,33.430678646,33430.678646,0.029912644
4c8g,256,4,0.5,3006477107,2818572288,3006477107,42.709854413,24.44322914,24443.2291402,0.040911125
4c8g,256,4,0.75,4509715660,4462739456,1503238554,53.424273474,19.782449093,19782.4490928,0.050549858
4c8g,256,8,0.0,0,0,6012954214,42.212280502,42.419106372,42419.1063722,0.023574283
4c8g,256,8,0.25,1503238553,1409286144,4509715661,42.214697903,33.430589525,33430.5895246,0.029912724
4c8g,256,8,0.5,3006477107,2818572288,3006477107,42.521516207,24.443126062,24443.1260618,0.040911297
4c8g,256,8,0.75,4509715660,4462739456,1503238554,53.98636479,19.729023065,19729.0230652,0.050686747
4c8g,512,1,0.0,0,0,6012954214,6.249382573,6.278907349,6278.9073492,0.159263379
4c8g,512,1,0.25,1503238553,1409286144,4509715661,42.214187765,33.413269152,33413.2691516,0.02992823
4c8g,512,1,0.5,3006477107,2818572288,3006477107,42.497512976,24.425537288,24425.5372884,0.040940758
4c8g,512,1,0.75,4509715660,4462739456,1503238554,54.972607915,19.808507373,19808.5073734,0.05048336
4c8g,512,2,0.0,0,0,6012954214,42.214306956,42.399863406,42399.8634058,0.023584982
4c8g,512,2,0.25,1503238553,1409286144,4509715661,42.216668555,33.40926432,33409.2643196,0.029931817
4c8g,512,2,0.5,3006477107,2818572288,3006477107,42.461802119,24.424851179,24424.8511794,0.040941908
4c8g,512,2,0.75,4509715660,4462739456,1503238554,54.900762084,19.781570958,19781.5709584,0.050552102
4c8g,512,4,0.0,0,0,6012954214,42.211962921,42.399586381,42399.586381,0.023585136
4c8g,512,4,0.25,1503238553,1409286144,4509715661,42.213775724,33.409030533,33409.0305334,0.029932027
4c8g,512,4,0.5,3006477107,2818572288,3006477107,43.412555846,24.424639309,24424.6393092,0.040942263
4c8g,512,4,0.75,4509715660,4462739456,1503238554,54.828666859,19.728075494,19728.075494,0.050689182
4c8g,512,8,0.0,0,0,6012954214,42.212156423,42.399998058,42399.9980578,0.023584907
4c8g,512,8,0.25,1503238553,1409286144,4509715661,42.237476731,33.410256784,33410.2567838,0.029930928
4c8g,512,8,0.5,3006477107,2818572288,3006477107,43.03016834,24.425424787,24425.4247872,0.040940946
4c8g,512,8,0.75,4509715660,4462739456,1503238554,54.594079412,19.622614538,19622.6145378,0.050961609
8c16g,64,1,0.0,0,0,12025908428,21.656860456,13.007128138,13007.128138,0.076880922
8c16g,64,1,0.25,3006477107,2818572288,9019431321,51.946120273,3.492454685,3492.454685,0.286331561
8c16g,64,1,0.5,6012954214,5989466112,6012954214,90.821653685,3.984336469,3984.3364694,0.250982819
8c16g,64,1,0.75,9019431321,8986296320,3006477107,129.602433687,3.661069316,3661.0693162,0.273144241
8c16g,64,2,0.0,0,0,12025908428,21.667482552,13.153717844,13153.7178438,0.076024133
8c16g,64,2,0.25,3006477107,2818572288,9019431321,55.438669366,3.549681784,3549.6817836,0.281715393
8c16g,64,2,0.5,6012954214,5989466112,6012954214,90.485558391,3.957157628,3957.157628,0.252706638
8c16g,64,2,0.75,9019431321,8986296320,3006477107,127.956256267,3.706230347,3706.2303466,0.269815933
8c16g,64,4,0.0,0,0,12025908428,21.617341499,12.909393252,12909.3932518,0.077462974
8c16g,64,4,0.25,3006477107,2818572288,9019431321,53.709128779,3.487213181,3487.2131812,0.286761935
8c16g,64,4,0.5,6012954214,5989466112,6012954214,87.767189841,3.954136886,3954.1368864,0.252899692
8c16g,64,4,0.75,9019431321,8986296320,3006477107,134.110958878,3.686376784,3686.3767838,0.27126907
8c16g,64,8,0.0,0,0,12025908428,21.652151757,13.283894778,13283.8947778,0.075279127
8c16g,64,8,0.25,3006477107,2818572288,9019431321,55.745184013,3.566409823,3566.4098232,0.280394024
8c16g,64,8,0.5,6012954214,5989466112,6012954214,90.249608678,3.973480641,3973.4806414,0.251668522
8c16g,64,8,0.75,9019431321,8986296320,3006477107,123.654845661,3.693170411,3693.1704106,0.270770067
8c16g,128,1,0.0,0,0,12025908428,11.585620228,2.212003823,2212.0038232,0.452078785
8c16g,128,1,0.25,3006477107,2818572288,9019431321,39.089387138,2.629701517,2629.7015172,0.380271294
8c16g,128,1,0.5,6012954214,5989466112,6012954214,69.899991194,2.994755023,2994.755023,0.333917129
8c16g,128,1,0.75,9019431321,8986296320,3006477107,100.991188678,2.845815593,2845.8155932,0.351393113
8c16g,128,2,0.0,0,0,12025908428,11.860442797,2.232034494,2232.034494,0.44802175
8c16g,128,2,0.25,3006477107,2818572288,9019431321,39.656106949,2.620698944,2620.6989436,0.381577595
8c16g,128,2,0.5,6012954214,5989466112,6012954214,71.016726247,3.018085871,3018.085871,0.331335834
8c16g,128,2,0.75,9019431321,8986296320,3006477107,101.925055445,2.831238005,2831.2380052,0.353202379
8c16g,128,4,0.0,0,0,12025908428,11.916668415,2.235305414,2235.3054136,0.44736616
8c16g,128,4,0.25,3006477107,2818572288,9019431321,40.396237024,2.614507799,2614.5077992,0.382481169
8c16g,128,4,0.5,6012954214,5989466112,6012954214,73.290659356,2.999431168,2999.431168,0.333396549
8c16g,128,4,0.75,9019431321,8986296320,3006477107,101.537820473,2.841465999,2841.4659986,0.35193101
8c16g,128,8,0.0,0,0,12025908428,11.815059929,2.167844738,2167.8447378,0.461287648
8c16g,128,8,0.25,3006477107,2818572288,9019431321,39.474456616,2.620427451,2620.4274506,0.381617129
8c16g,128,8,0.5,6012954214,5989466112,6012954214,72.888048375,2.993083249,2993.0832486,0.334103637
8c16g,128,8,0.75,9019431321,8986296320,3006477107,103.097774019,2.837744644,2837.7446436,0.352392525
8c16g,256,1,0.0,0,0,12025908428,6.84365046,2.051360932,2051.3609316,0.487481254
8c16g,256,1,0.25,3006477107,2818572288,9019431321,34.888340217,2.063144106,2063.1441062,0.484697117
8c16g,256,1,0.5,6012954214,5989466112,6012954214,64.974351462,2.262927339,2262.927339,0.441905484
8c16g,256,1,0.75,9019431321,8986296320,3006477107,100.128572031,2.176067527,2176.0675266,0.459544563
8c16g,256,2,0.0,0,0,12025908428,6.985750662,2.03359667,2033.5966696,0.491739594
8c16g,256,2,0.25,3006477107,2818572288,9019431321,35.053715096,2.046171201,2046.1712006,0.488717659
8c16g,256,2,0.5,6012954214,5989466112,6012954214,63.927653916,2.239304408,2239.3044084,0.446567245
8c16g,256,2,0.75,9019431321,8986296320,3006477107,97.411432716,2.201689231,2201.6892308,0.454196708
8c16g,256,4,0.0,0,0,12025908428,6.8591382,2.080478089,2080.4780886,0.480658751
8c16g,256,4,0.25,3006477107,2818572288,9019431321,34.927368788,2.058185573,2058.1855728,0.485864838
8c16g,256,4,0.5,6012954214,5989466112,6012954214,66.180929014,2.232418319,2232.418319,0.447944721
8c16g,256,4,0.75,9019431321,8986296320,3006477107,96.951939998,2.163840984,2163.840984,0.462141168
8c16g,256,8,0.0,0,0,12025908428,6.99335952,2.061167998,2061.1679984,0.485161812
8c16g,256,8,0.25,3006477107,2818572288,9019431321,35.081439945,2.071272587,2071.2725866,0.482794977
8c16g,256,8,0.5,6012954214,5989466112,6012954214,68.174277102,2.23761654,2237.6165396,0.446904097
8c16g,256,8,0.75,9019431321,8986296320,3006477107,97.067741445,2.181093942,2181.0939424,0.458485524
8c16g,512,1,0.0,0,0,12025908428,4.980135745,1.895346939,1895.346939,0.52760789
8c16g,512,1,0.25,3006477107,2818572288,9019431321,34.239791736,1.587917183,1587.9171826,0.629755765
8c16g,512,1,0.5,6012954214,5989466112,6012954214,67.343865868,1.690931952,1690.9319518,0.591389854
8c16g,512,1,0.75,9019431321,8986296320,3006477107,102.747268485,1.730247757,1730.2477568,0.577951912
8c16g,512,2,0.0,0,0,12025908428,4.925972038,1.896428163,1896.428163,0.527307082
8c16g,512,2,0.25,3006477107,2818572288,9019431321,34.158135431,1.589181656,1589.1816564,0.629254683
8c16g,512,2,0.5,6012954214,5989466112,6012954214,66.669937412,1.668134212,1668.134212,0.599472148
8c16g,512,2,0.75,9019431321,8986296320,3006477107,102.141445618,1.733829248,1733.8292482,0.576758064
8c16g,512,4,0.0,0,0,12025908428,4.922828844,1.893637003,1893.6370028,0.528084315
8c16g,512,4,0.25,3006477107,2818572288,9019431321,33.49011072,1.570259506,1570.2595056,0.636837412
8c16g,512,4,0.5,6012954214,5989466112,6012954214,68.809212227,1.67037815,1670.3781502,0.598666835
8c16g,512,4,0.75,9019431321,8986296320,3006477107,100.740408253,1.739972959,1739.9729586,0.574721575
8c16g,512,8,0.0,0,0,12025908428,4.871823435,1.895605658,1895.6056584,0.52753588
8c16g,512,8,0.25,3006477107,2818572288,9019431321,34.276439173,1.586662217,1586.6622166,0.630253868
8c16g,512,8,0.5,6012954214,5989466112,6012954214,67.171865868,1.67126384,1671.2638404,0.59834957
8c16g,512,8,0.75,9019431321,8986296320,3006477107,100.304572282,1.724245491,1724.2454912,0.579963819
